Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
12-Jan-2026,24-Feb-2026,XX,"-","948.45","951.15","938.40","946.05","945.50","946.05",3354450,"3,16,96,20,272.50","3,16,96,20,272.50",13494800,2273150
09-Jan-2026,24-Feb-2026,XX,"-","955.00","958.40","942.35","948.10","948.45","948.10",3797750,"3,60,19,19,035.00","3,60,19,19,035.00",11222200,2389750
08-Jan-2026,24-Feb-2026,XX,"-","951.00","962.00","951.00","956.05","957.05","956.05",2519000,"2,41,06,80,167.50","2,41,06,80,167.50",8832450,1597750
07-Jan-2026,24-Feb-2026,XX,"-","970.00","970.00","956.25","958.00","958.90","958.00",3478200,"3,33,97,36,922.50","3,33,97,36,922.50",7234700,2696100
06-Jan-2026,24-Feb-2026,XX,"-","975.00","976.80","967.35","972.30","972.85","972.30",1460800,"1,42,14,23,080.00","1,42,14,23,080.00",4538600,853600
05-Jan-2026,24-Feb-2026,XX,"-","1,011.00","1,011.00","984.90","985.75","986.30","985.75",1424500,"1,41,54,64,765.00","1,41,54,64,765.00",3685000,562650
02-Jan-2026,24-Feb-2026,XX,"-","1,004.20","1,012.25","1,004.20","1,010.75","1,010.40","1,010.75",1675850,"1,69,23,80,910.00","1,69,23,80,910.00",3122350,1410750
01-Jan-2026,24-Feb-2026,XX,"-","1,006.25","1,008.20","1,000.60","1,000.95","1,000.75","1,001.00",197450,"19,80,81,125.00","19,80,81,125.00",1711600,118800
31-Dec-2025,24-Feb-2026,XX,"-","1,006.30","1,007.00","1,000.10","1,003.50","1,003.00","1,003.50",192500,"19,31,34,260.00","19,31,34,260.00",1592800,51150
30-Dec-2025,24-Feb-2026,XX,"-","1,006.80","1,006.80","994.50","1,004.20","1,006.30","1,004.20",285450,"28,55,31,345.00","28,55,31,345.00",1541650,110550
29-Dec-2025,24-Feb-2026,XX,"-","1,005.30","1,007.20","998.80","1,002.90","1,002.70","1,002.90",183700,"18,41,67,995.00","18,41,67,995.00",1431100,90200
26-Dec-2025,24-Feb-2026,XX,"-","1,009.30","1,010.00","1,000.60","1,004.10","1,004.50","1,004.10",128150,"12,86,51,875.00","12,86,51,875.00",1340900,77000
24-Dec-2025,24-Feb-2026,XX,"-","1,008.90","1,012.70","1,007.50","1,009.40","1,009.50","1,009.40",65450,"6,61,15,390.00","6,61,15,390.00",1263900,22550
23-Dec-2025,24-Feb-2026,XX,"-","1,002.30","1,012.60","1,002.30","1,010.20","1,010.30","1,010.20",196350,"19,81,09,725.00","19,81,09,725.00",1241350,41800
22-Dec-2025,24-Feb-2026,XX,"-","1,004.00","1,006.60","999.00","1,001.70","1,001.10","1,001.70",158950,"15,92,60,530.00","15,92,60,530.00",1199550,84150
19-Dec-2025,24-Feb-2026,XX,"-","997.70","1,001.90","995.00","999.40","999.10","999.40",112200,"11,20,31,260.00","11,20,31,260.00",1115400,35200
18-Dec-2025,24-Feb-2026,XX,"-","995.10","1,002.10","993.50","994.10","993.60","994.10",251900,"25,12,02,380.00","25,12,02,380.00",1080200,173250
17-Dec-2025,24-Feb-2026,XX,"-","1,007.00","1,009.50","996.10","999.60","1,000.00","999.60",121550,"12,16,16,605.00","12,16,16,605.00",906950,57200
16-Dec-2025,24-Feb-2026,XX,"-","1,009.60","1,013.90","1,006.90","1,010.30","1,010.40","1,010.30",41250,"4,16,93,245.00","4,16,93,245.00",849750,8250
15-Dec-2025,24-Feb-2026,XX,"-","1,012.60","1,016.80","1,008.90","1,010.70","1,010.70","1,010.70",65450,"6,62,02,070.00","6,62,02,070.00",841500,10450
